LocationID,LONGITUDE,LATITUDE,EventDate,DateRange,Autres_incendies,Sum_Autres_incendies,Incendie_de_batiments,Sum_Incendie_de_batiments,Premier_Repondant,Sum_Premier_Repondant,Sans_incendie,Sum_Sans_incendie,Crime,Sum_Crime,Alarmes_incendies,Sum_Alarmes_incendies,False_Alertes_Annulations,Sum_False_Alertes_Annulations,LookAHead,TotalFires,Couples_No_Children,CouplesWithChildren,SizeOF House,Detached_House,Appartment_FiveFloors,OtherType,Semi_detached,TownHouse,Duplex,Appartment_less_5Florrs,OtherDtached,MObileHome,LandLord,Renter,1_4Rooms,5_rooms,6_rooms,7_rooms,8_RoomsOrmore,Average_Rooms,Simple_Maintenance,Major_repairs,Median_house_value,Average_House_Value,AverageHouseholdIncome2015,MedianHouseholdIncome2015,Avg_flors,Avg_YearBuilt,Avg_LandArea,Avg_HomeArea,Fire_Y_N,Fire_next6Months_Y_N
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2013-08-29,2013-02-28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2014-02-27,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2015-10-10,2015-04-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2016-04-09,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2015-12-11,2015-06-12,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2016-06-10,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2016-05-23,2015-11-23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2016-11-21,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2017-04-24,2016-10-24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2017-10-23,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2017-11-17,2017-05-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2018-05-18,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4801049847_45.7013844743,-73.480104984700000,45.701384474300000,2016-08-11,2016-02-11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2017-02-09,0,6702.620979,7260.440933,2.205149563,4597.73526,1612.204413,23435.46898,2508.918858,1907.159191,2433.197432,16509.95985,68.58033379,10.41144051,14835.09875,14818.90675,13733.49581,6221.384985,3327.867059,2679.495908,3691.058859,5.061716426,27751.8877,1901.620642,299547.1431,317330.3257,66659.84585,54993.7268,1.475,1971.7,474.46875,151.575,0,0
-73.4801049847_45.7013844743,-73.480104984700000,45.701384474300000,2016-10-07,2016-04-08,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2017-04-07,0,6702.620979,7260.440933,2.205149563,4597.73526,1612.204413,23435.46898,2508.918858,1907.159191,2433.197432,16509.95985,68.58033379,10.41144051,14835.09875,14818.90675,13733.49581,6221.384985,3327.867059,2679.495908,3691.058859,5.061716426,27751.8877,1901.620642,299547.1431,317330.3257,66659.84585,54993.7268,1.475,1971.7,474.46875,151.575,0,0
-73.4801049847_45.7013844743,-73.480104984700000,45.701384474300000,2017-04-23,2016-10-23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017-10-22,0,6702.620979,7260.440933,2.205149563,4597.73526,1612.204413,23435.46898,2508.918858,1907.159191,2433.197432,16509.95985,68.58033379,10.41144051,14835.09875,14818.90675,13733.49581,6221.384985,3327.867059,2679.495908,3691.058859,5.061716426,27751.8877,1901.620642,299547.1431,317330.3257,66659.84585,54993.7268,1.475,1971.7,474.46875,151.575,0,0
-73.4801049847_45.7013844743,-73.480104984700000,45.701384474300000,2017-06-06,2016-12-06,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2017-12-05,0,6702.620979,7260.440933,2.205149563,4597.73526,1612.204413,23435.46898,2508.918858,1907.159191,2433.197432,16509.95985,68.58033379,10.41144051,14835.09875,14818.90675,13733.49581,6221.384985,3327.867059,2679.495908,3691.058859,5.061716426,27751.8877,1901.620642,299547.1431,317330.3257,66659.84585,54993.7268,1.475,1971.7,474.46875,151.575,0,0
