House for sale in Pierrefonds-Roxboro (Montréal) - $499900,12828 Rue  Berry Pierrefonds-Roxboro (Montr&#233;al) Neighbourhood Pierrefonds/Central East,10 Rooms  4+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499900,45.508511,-73.842373,Split-level Detached,1964,,Driveway (2) Garage (1),Basement 6 feet or +
4plex for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $679999,9594 - 9600 boulevard  Gouin Est Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Rivi&#232;re-des-Prairies,,679999,45.658916,-73.572308,Semi-detached,2015,4052 sqft,Driveway (3),
House for sale in Saint-Laurent (Montréal) - $659000,920 Rue  Tait Saint-Laurent (Montr&#233;al) Neighbourhood Saint-Laurent West,11 Rooms  4+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,659000,45.50839808,-73.6873938,Two or more storey Semi-detached,1951,3750 sqft,Driveway (2) Garage (2),Basement 6 feet or +
Condo for sale in Côte-des-Neiges/Notre-Dame-de-Grâce (Montréal) - $549000,5390 Avenue  Decelles apt. 9 C&#244;te-des-Neiges/Notre-Dame-de-Gr&#226;ce (Montr&#233;al) Neighbourhood C&#244;te-des-Neiges,5 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.4985704,-73.62154963,Divided,1922,969 sqft,Garage (2),
Condo for sale in Montréal-Nord (Montréal) - $180900,10758 Avenue  Armand-Lavergne Montr&#233;al-Nord (Montr&#233;al),4 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,180900,45.59230585,-73.63121903,Divided,2000,915 sqft,,
Duplex for sale in Saint-Léonard (Montréal) - $639000,4329 - 4331 Rue  De Roquebrune Saint-L&#233;onard (Montr&#233;al),,639000,45.579121,-73.612251,Semi-detached,1969,3570 sqft,Driveway (2) Garage (2),Basement 6 feet or +
Condo for sale in Rosemont/La Petite-Patrie (Montréal) - $552000 +GST/QST,6745 Rue  Clark apt. PH302 Rosemont/La Petite-Patrie (Montr&#233;al) Neighbourhood Little Italy,6 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,552000,45.53188051,-73.6136495,Divided,2018 New,,Driveway (1),
Condo for sale in Rosemont/La Petite-Patrie (Montréal) - $294900 +GST/QST,2500 Rue  Dandurand apt. 107 Rosemont/La Petite-Patrie (Montr&#233;al) Neighbourhood Old Rosemont,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,294900,45.544244,-73.58099,Divided,To be built New,,,Elevator
Condo for sale in Ahuntsic-Cartierville (Montréal) - $329000,12090 boulevard de l&#39;Acadie Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Nouveau Bordeaux,7 Rooms  0+2 Bedrooms  1+0 Bathroom/Powder room  ,329000,45.54144086,-73.69839742,Undivided,1922,1029 sqft,,
House for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $388000,12378 Place  &#201;lie-Beauregard Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Rivi&#232;re-des-Prairies,10 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,388000,45.63604109,-73.60066966,Two or more storey Semi-detached,1983,3109 sqft,Driveway (2) Garage (1),Basement 6 feet or +
Triplex for sale in Ahuntsic-Cartierville (Montréal) - $499000,8981 - 8987 Rue  Lajeunesse Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Ahuntsic West,,499000,45.548261,-73.643667,Attached,1955,1830 sqft,,Basement 6 feet or +
Duplex for sale in Villeray/Saint-Michel/Parc-Extension (Montréal) - $445000,6933 - 6937 Rue  Hutchison Villeray/Saint-Michel/Parc-Extension (Montr&#233;al) Neighbourhood Parc-Extension,,445000,45.528791,-73.619119,Attached,1912,,,
Condo for sale in Ville-Marie (Montréal) - $379000,1188 Avenue  Union apt. 804 Ville-Marie (Montr&#233;al) Neighbourhood Central West,1 Room  1+0 Bedroom  1+0 Bathroom/Powder room  ,379000,45.50273338,-73.56738916,Divided,2018,578 sqft,,Adapted for reduced mobility Elevator
Condo for sale in Côte-des-Neiges/Notre-Dame-de-Grâce (Montréal) - $235000,2069 Avenue  Wilson apt. 102 C&#244;te-des-Neiges/Notre-Dame-de-Gr&#226;ce (Montr&#233;al) Neighbourhood Notre-Dame-de-Gr&#226;ce,3 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,235000,45.468642,-73.612388,Divided,2007,784 sqft,Driveway (1),
House for sale in Côte-Saint-Luc - $638000,5765 Avenue  Trinity C&#244;te-Saint-Luc,8 Rooms  3+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,638000,45.468065,-73.667671,Bungalow Detached,1963,4000 sqft,Driveway (2) Garage (2),Basement 6 feet or +
4plex for sale in Montréal-Nord (Montréal) - $360000,3736 - 3740 Rue  Sabrevois Montr&#233;al-Nord (Montr&#233;al),,360000,45.58197196,-73.63527263,Semi-detached,1959,2990 sqft,Driveway (7),Basement 6 feet or +
5plex for sale in Ville-Marie (Montréal) - $699000,1576 - 1580 Avenue  Lartigue Ville-Marie (Montr&#233;al) Neighbourhood Village,,699000,45.520443,-73.55719,Attached,1933,1124 sqft,,
House for sale in LaSalle (Montréal) - $459000,8454 Rue  Boursier LaSalle (Montr&#233;al),8 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,459000,45.429323,-73.619232,Two or more storey Semi-detached,1983,3002 sqft,Driveway (2) Garage (1),Basement 6 feet or +
House for sale in Pointe-Claire - $479000,26 Avenue d&#39;Hampton Gardens Pointe-Claire Neighbourhood South East,10 Rooms  3+2 Bedrooms  2+1 Bathrooms/Powder rooms  ,479000,45.44303787,-73.8091623,Bungalow Detached,1953,7100 sqft,Driveway (5),Basement 6 feet or +
Condo for sale in Mercier/Hochelaga-Maisonneuve (Montréal) - $289983 +GST/QST,8542 Rue de Brouage Mercier/Hochelaga-Maisonneuve (Montr&#233;al) Neighbourhood Mercier,9 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,289983,45.59775626,-73.51510235,Divided,To be built New,,,
5plex for sale in Rosemont/La Petite-Patrie (Montréal) - $750000,6555 21e Avenue Rosemont/La Petite-Patrie (Montr&#233;al) Neighbourhood Rosemont North,,750000,45.56224005,-73.58151082,Detached,1954,3750 sqft,Driveway (3),Basement 6 feet or +
Loft/Studio for sale in Le Sud-Ouest (Montréal) - $310000,738 Rue  Bourget apt. 503 Le Sud-Ouest (Montr&#233;al) Neighbourhood Saint-Henri/Petite Bourgogne,1 Room  1+0 Bathroom/Powder room  ,310000,45.480906,-73.583951,,2013,,,
Condo for sale in Ville-Marie (Montréal) - $1685000,1455 Rue  Sherbrooke Ouest apt. 807 Ville-Marie (Montr&#233;al) Neighbourhood Golden Square Mile,8 Rooms  3+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,1685000,45.49776064,-73.58079666,Undivided,1966,,Garage (1),Elevator
Condo for sale in Verdun/Île-des-Soeurs (Montréal) - $296000 +GST/QST,4939 Rue  Wellington apt. 305 Verdun/&#206;le-des-Soeurs (Montr&#233;al) Neighbourhood Verdun,5 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,296000,45.45623321,-73.56780561,Divided,Under construction New,762 sqft,,Elevator
Condo for sale in Ahuntsic-Cartierville (Montréal) - $258000,8500 Rue  Raymond-Pelletier apt. 311 Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Ahuntsic Central,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,258000,45.55205,-73.631699,Divided,2009,739 sqft,,Adapted for reduced mobility Elevator
House for sale in Beaconsfield - $839900,155 Liberty Road Beaconsfield Neighbourhood Central South,10 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,839900,45.43203288,-73.85216713,Two or more storey Detached,1963,9000 sqft,Driveway (4) Garage (2),Basement 6 feet or +
Condo for sale in Le Plateau-Mont-Royal (Montréal) - $399000,3698 Rue  Saint-Denis Le Plateau-Mont-Royal (Montr&#233;al) Neighbourhood Le Plateau-Mont-Royal,6 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,399000,45.51839217,-73.5709849,Divided,1885,960 sqft,Driveway (1),
Condo for sale in Ville-Marie (Montréal) - $199800 +GST/QST,2801 Rue de Rouen apt. 3 Ville-Marie (Montr&#233;al) Neighbourhood Central,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,199800,45.537099,-73.553948,Divided,Under construction New,510 sqft,,
5plex for sale in Villeray/Saint-Michel/Parc-Extension (Montréal) - $874000,7602 - 7608 Avenue  De Chateaubriand Villeray/Saint-Michel/Parc-Extension (Montr&#233;al) Neighbourhood Villeray,,874000,45.542813,-73.620194,Attached,1918,2679 sqft,,Basement 6 feet or +
